ID,Type,variable,value
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr15:89787154,-1.607229300298871
SRR25023040_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr15:89787154,-0.0866995653914241
SRR25023041_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr15:89787154,0.2726983719503348
SRR25023042_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr15:89787154,1.1137186463776072
SRR25023043_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr15:89787154,0.3075118473623535
SRR25023301_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr15:89787154,-0.9336395806004588
SRR25023302_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr15:89787154,-0.7158842832841625
SRR25023303_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr15:89787154,-1.09788929057618
SRR25023304_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr15:89787154,-1.607229300298871
SRR25023305_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr15:89787154,-1.0391192894543315
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr3:37034430,0.195239979637037
SRR25023040_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr3:37034430,-1.4296121979520071
SRR25023041_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr3:37034430,-0.0974586078221435
SRR25023042_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr3:37034430,1.3806550365871488
SRR25023043_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr3:37034430,-0.0488242104500352
SRR25023301_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr3:37034430,-0.4430794225744952
SRR25023302_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr3:37034430,-0.9994092899158632
SRR25023303_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr3:37034430,-0.1044718154360686
SRR25023304_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr3:37034430,-1.5572076783202813
SRR25023305_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr3:37034430,0.4430722673952013
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr22:29138031,1.1547005383792517
SRR25023040_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr22:29138031,-0.5773502691896257
SRR25023041_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr22:29138031,
SRR25023042_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr22:29138031,
SRR25023043_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr22:29138031,-0.5773502691896257
SRR25023301_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr22:29138031,-0.5773502691896257
SRR25023302_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr22:29138031,0.4558028440970709
SRR25023303_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr22:29138031,-0.5773502691896257
SRR25023304_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr22:29138031,
SRR25023305_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr22:29138031,
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr11:108093520,
SRR25023040_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr11:108093520,-0.7071067811865475
SRR25023041_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr11:108093520,
SRR25023042_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr11:108093520,
SRR25023043_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr11:108093520,0.7071067811865475
SRR25023301_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr11:108093520,-0.4335645060660263
SRR25023302_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr11:108093520,-0.5892556509887896
SRR25023303_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr11:108093520,-0.7071067811865475
SRR25023304_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr11:108093520,-0.7071067811865475
SRR25023305_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr11:108093520,-0.6309099297655835
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr3:37035012,0.1284079969165596
SRR25023040_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr3:37035012,-0.2150537080602988
SRR25023041_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr3:37035012,-0.9453754319362444
SRR25023042_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr3:37035012,-0.6044792235466682
SRR25023043_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr3:37035012,1.6365003666266529
SRR25023301_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr3:37035012,0.805519156861239
SRR25023302_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr3:37035012,-3.4909080365572502
SRR25023303_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr3:37035012,-1.2354429455771432
SRR25023304_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr3:37035012,-1.247261722682555
SRR25023305_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr3:37035012,-1.6590722374492906
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr17:59941053,1.586524739061415
SRR25023040_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr17:59941053,0.1447861836653688
SRR25023041_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr17:59941053,-0.3580197539078392
SRR25023042_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr17:59941053,-1.1287053948420915
SRR25023043_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr17:59941053,-0.2445857739768518
SRR25023301_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr17:59941053,2.393964036464785
SRR25023302_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr17:59941053,1.4694730240498102
SRR25023303_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr17:59941053,-2.1374789570303663
SRR25023304_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr17:59941053,-2.1374789570303663
SRR25023305_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr17:59941053,-1.4340824255725544
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr11:22647643,
SRR25023040_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr11:22647643,
SRR25023041_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr11:22647643,
SRR25023042_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr11:22647643,
SRR25023043_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr11:22647643,
SRR25023301_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr11:22647643,
SRR25023302_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr11:22647643,
SRR25023303_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr11:22647643,
SRR25023304_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr11:22647643,
SRR25023305_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr11:22647643,
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr7:6048928,1.151516541531569
SRR25023040_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr7:6048928,-1.4405885517989148
SRR25023041_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr7:6048928,-0.4958091952704093
SRR25023042_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr7:6048928,0.5422208876651058
SRR25023043_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr7:6048928,0.242660317872648
SRR25023301_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr7:6048928,-0.5899335434303763
SRR25023302_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr7:6048928,-0.01345651269815
SRR25023303_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr7:6048928,-0.6098814169562076
SRR25023304_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr7:6048928,-0.547832890929462
SRR25023305_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr7:6048928,-0.3348034007710541
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr2:128051690,-0.4799471826865779
SRR25023040_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr2:128051690,-0.7517757823897023
SRR25023041_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr2:128051690,-0.2588223632389598
SRR25023042_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr2:128051690,1.7519086885601285
SRR25023043_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr2:128051690,-0.2613633602448881
SRR25023301_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr2:128051690,-0.3950007452793513
SRR25023302_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr2:128051690,-0.1801735867522886
SRR25023303_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr2:128051690,-0.5422162892265002
SRR25023304_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr2:128051690,-0.6398463589825332
SRR25023305_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr2:128051690,-0.6004396054606032
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr17:56769962,
SRR25023040_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr17:56769962,
SRR25023041_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr17:56769962,
SRR25023042_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr17:56769962,
SRR25023043_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr17:56769962,
SRR25023301_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr17:56769962,inf
SRR25023302_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr17:56769962,
SRR25023303_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr17:56769962,
SRR25023304_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr17:56769962,inf
SRR25023305_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr17:56769962,inf
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr15:89787066,
SRR25023040_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr15:89787066,
SRR25023041_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr15:89787066,
SRR25023042_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr15:89787066,
SRR25023043_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr15:89787066,
SRR25023301_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr15:89787066,inf
SRR25023302_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr15:89787066,inf
SRR25023303_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr15:89787066,
SRR25023304_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr15:89787066,inf
SRR25023305_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr15:89787066,
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr3:37035043,-0.5200543638188495
SRR25023040_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr3:37035043,-1.5259884774056816
SRR25023041_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr3:37035043,0.6608392548552772
SRR25023042_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr3:37035043,0.74158963297812
SRR25023043_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr3:37035043,0.6436139533911313
SRR25023301_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr3:37035043,-1.5205765885483498
SRR25023302_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr3:37035043,-1.1312781159391878
SRR25023303_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr3:37035043,-1.2258777162641927
SRR25023304_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr3:37035043,1.5678751477237924
SRR25023305_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr3:37035043,0.3266210930063951
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr16:23652818,0.164674708882251
SRR25023040_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr16:23652818,-1.493957115248464
SRR25023041_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr16:23652818,0.0833078646796124
SRR25023042_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr16:23652818,1.3150161352954952
SRR25023043_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr16:23652818,-0.0690415936088955
SRR25023301_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr16:23652818,-0.2144411366333409
SRR25023302_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr16:23652818,-0.6478534316838076
SRR25023303_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr16:23652818,-0.862574608177557
SRR25023304_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr16:23652818,-0.6478534316838076
SRR25023305_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr16:23652818,-0.0722726945649956
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr6:43543815,-0.0856598807681081
SRR25023040_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr6:43543815,0.9946010688124908
SRR25023041_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr6:43543815,0.5899994903026861
SRR25023042_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr6:43543815,-1.624661781540469
SRR25023043_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr6:43543815,0.1257211031933987
SRR25023301_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr6:43543815,4.97905546541003
SRR25023302_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr6:43543815,-1.624661781540469
SRR25023303_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr6:43543815,-1.624661781540469
SRR25023304_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr6:43543815,4.47961466522048
SRR25023305_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr6:43543815,1.427476441840013
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr17:56769929,-0.4472135954999579
SRR25023040_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr17:56769929,-0.4472135954999579
SRR25023041_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr17:56769929,-0.4472135954999579
SRR25023042_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr17:56769929,-0.4472135954999579
SRR25023043_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr17:56769929,1.7888543819998317
SRR25023301_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr17:56769929,-0.4472135954999579
SRR25023302_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr17:56769929,-0.4472135954999579
SRR25023303_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr17:56769929,0.9015258194999178
SRR25023304_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr17:56769929,3.3860457944996813
SRR25023305_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr17:56769929,-0.4472135954999579
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr2:47630294,1.4021019602069866
SRR25023040_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr2:47630294,-0.6821115428623131
SRR25023041_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr2:47630294,-1.027948437989086
SRR25023042_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr2:47630294,0.6360251045258135
SRR25023043_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr2:47630294,-0.3280670838814007
SRR25023301_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr2:47630294,0.2283198129906593
SRR25023302_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr2:47630294,-0.4579152235761249
SRR25023303_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr2:47630294,-1.3278810965411976
SRR25023304_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr2:47630294,-0.6902915282314027
SRR25023305_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr2:47630294,-0.7144074805628403
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr15:89787295,-0.4472135954999579
SRR25023040_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr15:89787295,-0.4472135954999579
SRR25023041_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr15:89787295,1.7888543819998317
SRR25023042_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr15:89787295,-0.4472135954999579
SRR25023043_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr15:89787295,-0.4472135954999579
SRR25023301_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr15:89787295,-0.1343167112764376
SRR25023302_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr15:89787295,0.4300953717487639
SRR25023303_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr15:89787295,-0.4472135954999579
SRR25023304_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr15:89787295,0.3641031043008511
SRR25023305_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr15:89787295,-0.4472135954999579
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr15:89787150,1.7888543819998317
